"Player.Number","Player.Type","Missing.Players","Probabilities"
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,0.15
1,"Player",5,0.225
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.15
1,"Player",2,0.2
1,"Player",3,0.2
1,"Player",4,0.2
1,"Player",5,0.3
1,"Player",6,0.3
1,"Player",7,0.35
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,NA
1,"Player",2,NA
1,"Player",3,NA
1,"Player",4,NA
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,NA
1,"Player",4,NA
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,0.1
1,"Player",5,0.1
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.15
1,"Player",2,0.15
1,"Player",3,0.15
1,"Player",4,0.15
1,"Player",5,0.25
1,"Player",6,0.25
1,"Player",7,0.25
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,NA
1,"Player",2,NA
1,"Player",3,NA
1,"Player",4,NA
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.15
1,"Player",4,0.15
1,"Player",5,0.15
1,"Player",6,0.15
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,0.15
1,"Player",5,0.15
1,"Player",6,0.15
1,"Player",7,0.2
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,0.1
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,0.1
1,"Player",5,0.1
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.15
1,"Player",2,0.15
1,"Player",3,0.2
1,"Player",4,0.2
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.15
1,"Player",3,0.15
1,"Player",4,0.15
1,"Player",5,0.15
1,"Player",6,0.15
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1
1,"Player",4,NA
1,"Player",5,NA
1,"Player",6,NA
1,"Player",7,NA
1,"Player",8,NA
1,"Player",0,0.1
1,"Player",1,0.1
1,"Player",2,0.1
1,"Player",3,0.1875
1,"Player",4,0.1875
1,"Player",5,0.1875
1,"Player",6,0.1875
1,"Player",7,NA
1,"Player",8,NA
